['A1BG', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ADH7', '3', '0', '0', '3', '6', '0', '6', '6.16041960270521e-05', '1\n']
['ADHFE1', '3', '0', '0', '3', '589', '0', '589', '0.907964962578923', '1\n']
['ADI1', '1', '0', '0', '1', '39', '0', '39', '0.307737058947684', '1\n']
['ADIPOR2', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ADK', '1', '0', '0', '1', '10', '0', '10', '0.0961839986291075', '1\n']
['ADM2', '0', '0', '0', '0', '41', '0', '41', '1', '1\n']
['ADORA2B', '0', '0', '0', '0', '24', '0', '24', '1', '1\n']
['ADORA3', '0', '0', '0', '0', '1', '0', '1', '1', '1\n']
['ADPRH', '5', '0', '0', '5', '169', '0', '169', '0.0225621072293061', '1\n']
['ADPRHL1', '4', '0', '0', '4', '248', '0', '248', '0.201079814257555', '1\n']
['ADRA1A', '0', '0', '0', '0', '72', '0', '72', '1', '1\n']
['ADRA1B', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ADRA2A', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ADRA2B', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ADRB2', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ADRB3', '1', '0', '0', '1', '3', '0', '3', '0.036105324929763', '1\n']
['ADRM1', '3', '0', '0', '3', '1385', '0', '1385', '0.999739229609913', '1\n']
['ADSSL1', '3', '0', '0', '3', '22', '0', '22', '0.00151228177272898', '1\n']
['AEBP1', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['AES', '1', '0', '0', '1', '2', '0', '2', '0.0272029670944346', '1\n']
['AFAP1L1', '3', '0', '0', '3', '2', '0', '2', '7.53776325222997e-06', '1\n', '134961']
['AFAP1L2', '1', '0', '0', '1', '1', '0', '1', '0.0182184663067098', '1\n']
['AFG3L2', '0', '0', '0', '0', '16', '0', '16', '1', '1\n']
['AFM', '5', '0', '0', '5', '389', '0', '389', '0.29413685599526', '1\n']
['AFMID', '0', '0', '0', '0', '6', '0', '6', '1', '1\n']
['AFP', '0', '0', '0', '0', '2', '0', '2', '1', '1\n']
['AFTPH', '2', '0', '0', '2', '5', '0', '5', '0.00170418490988962', '1\n']
['AGA', '1', '0', '0', '1', '3', '0', '3', '0.036105324929763', '1\n']
['AGAP1', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['AGAP3', '1', '0', '0', '1', '3', '0', '3', '0.036105324929763', '1\n']
['AGAP5', '2', '0', '0', '2', '1434', '0', '1434', '0.999975438638349', '1\n']
['AGAP6', '2', '0', '0', '2', '1193', '0', '1193', '0.999805523912774', '1\n']
['AGAP7', '2', '0', '0', '2', '35', '0', '35', '0.0451221355231074', '1\n']
['AGAP8', '0', '0', '1', '2', '11', '0', '11', '0.104455656809899', '0.009151065341517\n']
['AGBL1', '3', '0', '0', '3', '875', '0', '875', '0.987133656053581', '1\n']
['AGBL2', '5', '0', '0', '5', '120', '0', '120', '0.00605027474482894', '1\n']
['AGBL3', '5', '0', '0', '5', '11', '0', '11', '2.55416151142845e-07', '1\n']
['AGBL4', '0', '0', '0', '0', '1', '0', '1', '1', '1\n']
['AGBL5', '0', '0', '0', '0', '1', '0', '1', '1', '1\n']
['AGER', '2', '0', '0', '2', '82', '0', '82', '0.179585715399971', '1\n']
